,name,type,identifier
1140,osteopenia,disease,['mesh:D001851']
1141,rheumatoid arthritis,disease,"['mesh:D001172', 'mim:180300']"
1142,type 1 diabetes mellitus,disease,"['mim:222100', 'mesh:D003922']"
1143,pelvic malignancies,disease,['mesh:D010386']
1144,hip fractures,disease,['mesh:D006620']
1145,rectal carcinoma,disease,['mesh:D012004']
1146,dementia,disease,['mesh:D003704']
1147,CNS diseases,disease,['mesh:D002493']
1148,Bisphenol A,chemical,['mesh:C006780']
1149,laminin,gene,['NCBIGene:3913']
1150,DNT,chemical,['mesh:C023514']
1151,cleft lip with or without palate,disease,['mesh:D002971']
1152,cleft palate,disease,['mesh:D002972']
1153,CPO,disease,['mesh:D017246']
1154,cyclopamine,chemical,['mesh:C000541']
1155,malondialdehyde,chemical,['mesh:D008315']
1156,hydroxynonenal,chemical,['CHEBI:16111']
1157,PESTICIDES,chemical,['mesh:D010575']
1158,atrazine,chemical,['CHEBI:15930']
1159,AT,gene,"['NCBIGene:695', '2628']"
1160,insulin resistance,disease,['mesh:D007333']
1161,obesity,disease,"['mim:601665', 'mesh:D009765']"
1162,ERb,gene,['NCBIGene:2100']
1163,adipose tissue inflammation,disease,['mesh:D000274']
1164,type 2 diabetes,disease,"['mesh:D003924', 'mim:125853']"
1165,postmenopausal,disease,['mesh:D015663']
1166,estrogen insufficiency,disease,"['mesh:D016649', 'mim:311360']"
1167,chronic liver diseases,disease,['mesh:D056487']
1168,-SMA,gene,['NCBIGene:6606']
1169,COL1A1,gene,['NCBIGene:1277']
1170,NF-,gene,['NCBIGene:23114']
1171,alcoholic liver disease,disease,['mesh:D008108']
1172,17beta-trenbolone,chemical,['mesh:D014204']
1173,ERa,gene,['NCBIGene:26284']
1174,hyperglycemia,disease,['mesh:D006943']
1175,LCN2,gene,['NCBIGene:3934']
1176,Huntingtons disease,disease,"['mesh:D002819', 'mim:118700']"
1177,multiple sclerosis,disease,"['mesh:D009103', 'mim:126200']"
1178,beta-amyloid protein,gene,['NCBIGene:351']
1179,mutant huntingtin protein,gene,['NCBIGene:3064']
1180,demyelination,disease,['mesh:D003711']
1181,MEK,gene,['NCBIGene:5609']
1182,ERK1/2,gene,['NCBIGene:5594']
1183,cadmium,chemical,['mesh:D002104']
1184,manganese,chemical,['mesh:D008345']
1185,arsenic,chemical,['mesh:D001151']
1186,As,chemical,['CHEBI:47217']
1187,Mn,chemical,['CHEBI:18291']
1188,Excessive iron accumulation,disease,['mesh:D019190']
1189,SULT1E1,gene,['NCBIGene:6783']
1190,uterine adenocarcinoma,disease,['mesh:D014594']
1191,oestradiol,chemical,['mesh:D004958']
1192,Sulfated steroids,chemical,['CHEBI:16158']
1193,steroid dependent cancer,disease,['mesh:D009376']
1194,SULT,gene,['NCBIGene:6819']
1195,steroid sulfatase,gene,['NCBIGene:412']
1196,peroxyl,chemical,['CHEBI:25935']
1197,Influenza A,disease,['mesh:D007251']
1198,Sialic Acid,chemical,['mesh:D019158']
1199,Semaphorin 6A,gene,['NCBIGene:57556']
1200,Dll4,gene,['NCBIGene:54567']
1201,Notch,gene,['NCBIGene:4851']
1202,CVDs,disease,"['mim:122460', 'mesh:D003333']"
1203,Angiogenesis dysfunction,disease,['mesh:D009389']
1204,MMP-2MMP-9,gene,['NCBIGene:4318']
1205,angiopoietin like protein 4,gene,['NCBIGene:51129']
1206,ANG,gene,['NCBIGene:283']
1207,Tie2,gene,['NCBIGene:7010']
1208,Frizzled,gene,['NCBIGene:8321']
1209,PI3K,gene,['NCBIGene:5291']
1210,VEGF,gene,['NCBIGene:7422']
1211,VEGFR,gene,['NCBIGene:3791']
1212,PLK1,gene,['NCBIGene:5347']
1213,COX6A1,gene,['NCBIGene:1337']
1214,respiratory chain complex IV,gene,['NCBIGene:1537']
1215,congenital heart defects,disease,['mesh:D006330']
1216,ATPase,gene,['NCBIGene:1769']
1217,Arhyl hydrocarbon,chemical,['CHEBI:27841']
1218,androstane,chemical,['CHEBI:35509']
1219,Farnesoid,chemical,['CHEBI:36756']
1220,Retinoic acid receptor,gene,['NCBIGene:5914']
1221,ventricular fibrillation,disease,['mesh:D014693']
1222,celiac disease,disease,"['mesh:D002446', 'mim:212750']"
1223,human leukocyte antigen (HLA)-DQ2,gene,['NCBIGene:3120']
1224,HLA-,gene,['NCBIGene:81669']
1225,DQ8 molecules,gene,['NCBIGene:1861']
1226,HLA-DQ2/8-gluten,gene,['NCBIGene:3118']
1227,gluten,gene,['NCBIGene:338332']
1228,transglutaminase 2,gene,['NCBIGene:7052']
1229,B cell receptors,gene,['NCBIGene:8227']
1230,CD4+,gene,['NCBIGene:920']
1231,chronic intestinal inflammation,disease,"['mesh:D015212', 'mim:266600']"
1232,villous atrophy,disease,['mesh:C564019']
1233,malabsorption,disease,['mesh:D008286']
1234,HLA-DQ8,gene,['NCBIGene:3130']
1235,inflamed intestines,disease,['mesh:D003424']
1236,Chicken Ovalbumin Upstream Promoter Transcription Factor II,gene,['NCBIGene:7026']
1237,COUP-,gene,['NCBIGene:7025']
1238,TFII,gene,"['NCBIGene:2962', '2963', '2964']"
1239,Impaired spermatogenesis,disease,['mesh:C536875']
1240,epididymis,disease,['mesh:D004823']
1241,phthalates,chemical,['mesh:C032279']
1242,epididymal agenesis,disease,['mesh:D006059']
1243,malformation of reproductive organs,disease,['mesh:D006058']
1244,phthalate syndrome,disease,"['mim:602079', 'mesh:C536561']"
1245,Insulin-like peptide 3,gene,['NCBIGene:3640']
1246,BPA,chemical,['CHEBI:33216']
1247,ethinylestradiol,chemical,['mesh:D004997']
1248,EE2,chemical,['CHEBI:46616']
1249,polycyclic aromatic hydrocarbons,chemical,['mesh:D011084']
1250,phenolic,chemical,['CHEBI:15882']
1251,alkylphenols,chemical,['CHEBI:38976']
1252,parabens,chemical,['mesh:D010226']
1253,egg yolk precursor protein,gene,['NCBIGene:3336']
1254,FC10-diol,chemical,['mesh:C546883']
1255,vitellogenin,chemical,['mesh:C073189']
1256,Perfluorinated,chemical,['mesh:D006858']
1257,fluorine,chemical,['mesh:D005461']
1258,polyfluoroalkyl,chemical,['CHEBI:53314']
1259,Copper,chemical,['mesh:D003300']
1260,vascular calcification,disease,['mesh:D061205']
1261,neuropathy target esterase,gene,['NCBIGene:10908']
1262,lysolecithin,chemical,['mesh:D008244']
1263,esterase,gene,['NCBIGene:5444']
1264,OPIDN,disease,['mesh:C537742']
1265,cramping,disease,['mesh:D009120']
1266,muscle pains,disease,['mesh:D063806']
1267,weakness,disease,['mesh:D018908']
1268,sensory and autonomic dysfunction,disease,['mesh:D012678']
1269,NR1l2,gene,['NCBIGene:7376']
1270,low-density lipoprotein (LDL) cholesterol,gene,['NCBIGene:22796']
1271,insulin-induced gene 1,gene,['NCBIGene:3638']
1272,SREBP cleavage-activating protein,gene,['NCBIGene:22937']
1273,Coat Protein Complex II,gene,['NCBIGene:26958']
1274,Sterol Regulatory Element Binding Proteins,gene,['NCBIGene:7555']
1275,site-1-protease,gene,['NCBIGene:8720']
1276,site-2-protease,gene,['NCBIGene:51360']
1277,hypercholesterolemia,disease,['mesh:D006937']
1278,proprotein convertase subtilisin/kexin type 9,gene,['NCBIGene:255738']
1279,subtilisin,gene,['NCBIGene:5125']
1280,LMNA gene mutation,gene,['NCBIGene:4000']
1281,laminopathies,disease,['mesh:D000083083']
1282,hypertrophic cardiomyopathy,disease,['mesh:D002312']
1283,dilated cardiomyopathy,disease,"['mesh:C580047', 'mesh:D002311', 'mim:115200']"
1284,muscular dystrophies,disease,['mesh:D009136']
1285,abnormal thickening of the cardiac muscle,disease,['mesh:D009202']
1286,Muscarinic M2 Receptor,gene,['NCBIGene:1129']
1287,bradyarrhythmias,disease,['mesh:D001919']
1288,sinus bradycardia,disease,['mesh:D012804']
1289,sinus arrest,disease,['mesh:D054138']
1290,AV block,disease,['mesh:C535758']
1291,atrial fibrillation,disease,['mesh:D001281']
1292,atrial flutter,disease,['mesh:D001282']
1293,vagal hyperactivity,disease,['mesh:D019462']
1294,carotid sinus hypersensitivity,disease,['mesh:D013575']
1295,TdP,disease,"['mesh:D057180', 'mim:600274']"
1296,sleep apnea,disease,['mesh:D012891']
1297,inferior myocardial infarction,disease,['mesh:D056989']
1298,conduction block,disease,['mesh:D006327']
1299,delayed ventricular repolarization,disease,['mesh:D018754']
1300,CACNA1C variants,gene,['NCBIGene:775']
1301,Na channels,gene,['NCBIGene:51802']
1302,hypertrophy,disease,['mesh:D006984']
1303,SCN5A,gene,['NCBIGene:6331']
1304,sodium-calcium exchanger,gene,['NCBIGene:57419']
1305,NCX,gene,['NCBIGene:3196']
1306,Brugada syndrome,disease,"['mim:601144', 'mesh:D053840']"
1307,Lengre disease,disease,['mesh:C537464']
1308,ischemia,disease,['mesh:D007511']
1309,adrenergic receptor,gene,['NCBIGene:154']
1310,-,gene,['NCBIGene:112597']
1311,-ARs,gene,['NCBIGene:6012']
1312,adenylate cyclase,gene,['NCBIGene:107']
1313,tachyarrhythmias,disease,['mesh:D013610']
1314,protein kinase A,gene,['NCBIGene:5566']
1315,ryanodine,chemical,['mesh:D012433']
1316,ryanodine receptors,gene,['NCBIGene:6262']
1317,catecholamine,chemical,['mesh:D002395']
1318,KCNQ1,gene,['NCBIGene:3784']
1319,KCNJ2 genes,gene,['NCBIGene:3759']
1320,inherited channelopathies,disease,['mesh:D053447']
1321,LQTS,disease,"['mim:192500', 'mesh:D029597']"
1322,Short QT Syndrome,disease,['mesh:C580439']
1323,SQTS,disease,['mesh:D012749']
1324,Andersen-Tawil Syndrome,disease,['mim:301050']
1325,cardiac remodeling,disease,['mesh:D020257']
1326,dysfunction of potassium,disease,['mesh:D011191']
1327,Kir2,gene,['NCBIGene:3768']
1328,ventricular tachycardia,disease,['mesh:D017180']
1329,sotalol,chemical,['mesh:D013015']
1330,amiodarone,chemical,['mesh:D000638']
1331,dofetilide,chemical,['mesh:C063533']
1332,myocardial hypertrophy,disease,['mesh:D006332']
1333,electrolyte imbalances,disease,['mesh:D014883']
1334,2-Receptor,gene,"['NCBIGene:2826', '139760']"
1335,2-adrenergic receptors,gene,['NCBIGene:151']
1336,Gs protein,gene,"['NCBIGene:324', '2752']"
1337,stress cardiomyopathy,disease,['mesh:D054549']
1338,phosphodiesterase,gene,['NCBIGene:501']
1339,cyclic GMP,chemical,['mesh:D006152']
1340,phospholamban,gene,['NCBIGene:5350']
1341,calcium dysregulation,disease,['mesh:D002128']
1342,PDE3,gene,['NCBIGene:5139']
1343,PDE4 isoforms,gene,['NCBIGene:5141']
1344,ACh,gene,['NCBIGene:2261']
1345,asystole,disease,['mesh:D006323']
1346,polymorphic ventricular tachycardia,disease,['mim:192605']
1347,myasthenia gravis,disease,['mesh:D009157']
1348,muscarinic acetylcholine receptors,gene,['NCBIGene:1128']
1349,Funny,gene,['NCBIGene:942']
1350,If channels,gene,"['NCBIGene:3426', '2694']"
1351,ivabradine,chemical,['mesh:D000077550']
1352,sinus tachycardia,disease,['mesh:D013616']
1353,ventricular ectopy,disease,['mesh:D018879']
1354,HCN4,gene,['NCBIGene:10021']
1355,hyperpolarization-activated cyclic nucleotide-gated,gene,['NCBIGene:348980']
1356,HCN,gene,['NCBIGene:378938']
1357,HCN channels,gene,['NCBIGene:51555']
1358,zatebradine,chemical,['mesh:C043636']
1359,DBDPE,chemical,['mesh:D015123']
1360,nicotinamide riboside,chemical,['CHEBI:15927']
1361,Decabromodiphenyl ethane,chemical,['mesh:C491509']
1362,17-Hydroxysteroid,chemical,['CHEBI:36838']
1363,17-Hydroxysteroid dehydrogenase 2,gene,['NCBIGene:3294']
1364,vasopressin,gene,['NCBIGene:551']
1365,EC,disease,"['mesh:D012512', 'mim:612219']"
1366,follicle-stimulating hormone,gene,['NCBIGene:6046']
1367,P4,chemical,['CHEBI:35898']
1368,PVC,chemical,['mesh:D011143']
1369,plastoquinone B,chemical,['CHEBI:28377']
1370,Qb protein,gene,['NCBIGene:27089']
1371,neurotransmitter sodium symporter,gene,['NCBIGene:6530']
1372,NSS,gene,['NCBIGene:10772']
1373,DAT,gene,['NCBIGene:6531']
1374,norepinephrine,chemical,['CHEBI:33569']
1375,anxiety,disease,"['mesh:D001008', 'mim:607834']"
1376,lethargy,disease,['mesh:D053609']
1377,FAM50B,gene,['NCBIGene:26240']
1378,PTCHD3,gene,['NCBIGene:374308']
1379,gasoline,chemical,['mesh:D005742']
1380,BMP4,gene,['NCBIGene:652']
1381,imidacloprid,chemical,['mesh:C082359']
1382,pulmonary edema,disease,['mesh:D011654']
1383,anosomia,disease,['mesh:D000849']
1384,endometriosis,disease,"['mim:131200', 'mesh:D004715']"
1385,Transthyretin disruption,disease,"['mesh:C567782', 'mim:105210']"
1386,thyroid distribution protein,gene,['NCBIGene:64327']
1387,PFOS,chemical,['CHEBI:39421']
1388,TBBPA,chemical,['mesh:C020806']
